performanceID,operaPrefix,workTitle,workID,composerName,composerID,performanceDate,performanceLocation,performanceLocationID,performerName,performerID,conductorName,conductorID,annotatorName,annotatorID,listenerName,listenerID,arrangerName,arrangerID,scorePageOffset
http://performance.data.t-mus.org/performance/f3xsaAfdb0I,Rh,Das Rheingold,http://performance.data.t-mus.org/work/SirDrD7F,Richard Wagner,https://musicbrainz.org/artist/eefd7c1e-abcf-4ccc-ba60-0fd435c9061f,05/11/2014,Birmingham Hippodrome,http://performance.data.t-mus.org/location/b324aAgda3I,Mariinsky Theatre Orchestra,https://musicbrainz.org/artist/6c05e40f-33b2-4150-b93a-ddc2b0d88a6a,,https://musicbrainz.org/artist/87b4252d-314b-4252-9cd3-44c08f3087b6,Carolin Rindfleisch,http://performance.data.t-mus.org/agents/vwsdx3gR,Richard Lewis,http://performance.data.t-mus.org/agents/XvmDx78R,,http://example.com/the_arranger,-1
http://performance.data.t-mus.org/performance/gvX3hrDeTEA,Wal,Die Walkuere,http://performance.data.t-mus.org/work/Vo6wWORq,Richard Wagner,https://musicbrainz.org/artist/eefd7c1e-abcf-4ccc-ba60-0fd435c9061f,06/11/2014,Birmingham Hippodrome,http://performance.data.t-mus.org/location/b324aAgda3I,Mariinsky Theatre Orchestra,https://musicbrainz.org/artist/6c05e40f-33b2-4150-b93a-ddc2b0d88a6a,,https://musicbrainz.org/artist/87b4252d-314b-4252-9cd3-44c08f3087b6,,http://performance.data.t-mus.org/agents/vwsdx3gR,,http://performance.data.t-mus.org/agents/XvmDx78R,,http://example.com/the_arranger,-1
http://performance.data.t-mus.org/performance/qA26WzgQZ0o,Si,Siegfried,http://performance.data.t-mus.org/work/RuvqfUCz,Richard Wagner,https://musicbrainz.org/artist/eefd7c1e-abcf-4ccc-ba60-0fd435c9061f,08/11/2014,Birmingham Hippodrome,http://performance.data.t-mus.org/location/b324aAgda3I,Mariinsky Theatre Orchestra,https://musicbrainz.org/artist/6c05e40f-33b2-4150-b93a-ddc2b0d88a6a,,https://musicbrainz.org/artist/87b4252d-314b-4252-9cd3-44c08f3087b6,,http://performance.data.t-mus.org/agents/vwsdx3gR,,http://performance.data.t-mus.org/agents/XvmDx78R,,http://example.com/the_arranger,-1
http://performance.data.t-mus.org/performance/r6VpHuhRdk0,Go,Goetterdaemmerung,http://performance.data.t-mus.org/work/I4647miF,Richard Wagner,https://musicbrainz.org/artist/eefd7c1e-abcf-4ccc-ba60-0fd435c9061f,09/11/2014,Birmingham Hippodrome,http://performance.data.t-mus.org/location/b324aAgda3I,Mariinsky Theatre Orchestra,https://musicbrainz.org/artist/6c05e40f-33b2-4150-b93a-ddc2b0d88a6a,,https://musicbrainz.org/artist/87b4252d-314b-4252-9cd3-44c08f3087b6,,http://performance.data.t-mus.org/agents/vwsdx3gR,,http://performance.data.t-mus.org/agents/XvmDx78R,,http://example.com/the_arranger,-1
